"tip.label","species","mean_ED","median_ED","sd_ED","mean_rank","median_rank","top20_count","top20_frequency","mean_EH_66","median_EH_66","sd_EH_66","mean_rank_66","median_rank_66","top20_count_66","top20_frequency_66","mean_EH_145","median_EH_145","sd_EH_145","mean_rank_145","median_rank_145","top20_count_145","top20_frequency_145"
"Zanobatus_schoenleinii","Zanobatus schoenleinii",188.530753024009,189.134158176953,21.2235358917863,1.2,1,100,1,38.3844423478966,38.7129353323727,3.18036708737124,1.35,1,100,1,10.0141598981459,10.2772490992361,3.1567452124511,2.66,2,99,0.99
"Hypnos_monopterygius","Hypnos monopterygius",162.641586025615,159.176651212908,29.3790286665828,2.72,2,100,1,34.6523204784548,34.9147532124056,5.48466106390863,3.35,2,100,1,7.24605815030465,6.69218145079108,4.24000351130155,21.7,6,60,0.6
"Hexatrygon_bickelli","Hexatrygon bickelli",137.627250802167,137.487954337562,14.8071687048578,3.73,3,100,1,27.9186601847935,28.3020117258979,3.82662859685091,5.93,6,100,1,2.06954284605776,1.5286040134813,1.50842138607066,113.06,113.5,1,0.01
"Platyrhinoidis_triseriata","Platyrhinoidis triseriata",135.708988663987,135.087951684551,16.0577715738223,4.19,4,100,1,34.5549150382815,34.958727310134,3.78334061164887,2.69,3,100,1,9.63919860080592,9.53051215950155,2.10251107088135,2.05,2,100,1
"Mitsukurina_owstoni","Mitsukurina owstoni",129.411746375605,135.464094040999,24.5190164659539,4.99,4,100,1,28.0808006196134,30.758095558063,7.82790349746831,7.1,4.5,97,0.97,4.41080042447666,4.71208117831853,2.47525444869799,45.53,24,46,0.46
"Plesiobatis_daviesi","Plesiobatis daviesi",117.820879981398,118.09918753752,13.205584932093,7.79,8,100,1,21.8363629865097,22.2120032054641,4.24471548026304,17.14,17,82,0.82,0.560050389381804,0.469044878715726,0.531440488650562,441.88,476,0,0
"Anoxypristis_cuspidata","Anoxypristis cuspidata",116.972731763834,125.545741149437,27.8106630049424,9.27,7,95,0.95,23.3660966813661,27.6430903995432,10.8156438369008,33.75,7,76,0.76,2.73435996749437,2.68794741630512,1.69710329776615,84.55,65,1,0.01
"Carcharias_taurus","Carcharias taurus",103.39903460905,107.559875999308,18.4367445795098,12.48,12,100,1,20.0889167299812,22.5877577515769,8.05492642643913,29.23,17,64,0.64,2.9287738231655,3.26031683821767,1.47703030466518,77.3,52,0,0
"Notorynchus_cepedianus","Notorynchus cepedianus",103.410724485802,104.87653855816,14.8533261063967,12.95,12.5,95,0.95,24.8334863460929,25.1845868640318,4.96670611124198,9.86,9,98,0.98,7.24617263725478,7.3027184218351,1.83773341358458,5.85,5,100,1
"Leptocharias_smithii","Leptocharias smithii",103.912931441747,105.504111744875,23.673148706605,16.15,13,68,0.68,16.3383449296914,17.7397386444371,8.8074644444473,111.5,35.5,24,0.24,0.529161491574092,0.375852050169198,0.497382225161937,557.57,555,0,0
"Alopias_superciliosus","Alopias superciliosus",99.9229754464612,106.247182959075,21.2890750481972,17.4,14,77,0.77,19.4151447998536,22.1083127597688,8.23886632090075,35.97,20,57,0.57,2.88647590413476,3.19777122339812,1.47093309268107,80.5,55.5,0,0
"Cetorhinus_maximus","Cetorhinus maximus",95.3954978354848,98.8145727814342,16.1598985604033,19.89,20,59,0.59,17.8331290580264,19.7709688202903,7.27216150227521,38.95,25.5,13,0.13,2.73029349595132,3.02261898538996,1.35825632220296,83.96,58,0,0
"Rhina_ancylostoma","Rhina ancylostoma",98.9138309904424,106.55589099403,23.3149395373682,19.91,14,75,0.75,21.6705358417805,25.0362893491546,9.57778044801261,31.38,11,76,0.76,2.85216287018626,2.64106027374046,1.79482220052678,82.65,66,1,0.01
"Chlamydoselachus_anguineus","Chlamydoselachus anguineus",95.1261754065078,91.2888706830084,16.3156448554668,22.26,21,49,0.49,23.63952209813,22.3792751709502,4.25851852135424,14.27,12.5,77,0.77,7.05489459682271,6.78058533881814,1.89812722474861,6.42,6,100,1
"Chlamydoselachus_africana","Chlamydoselachus africana",95.1261754065078,91.2888706830084,16.3156448554668,23.26,22,48,0.48,23.5869674829608,22.30463234798,4.26200008590907,14.66,13.5,75,0.75,7.04225773770257,6.74612168894738,1.88141878248068,6.49,6,100,1
"Brachaelurus_colcloughi","Brachaelurus colcloughi",91.9660232958534,97.3689277192497,16.9502424577073,24.38,23,28,0.28,22.1157270546838,23.9808317239016,5.54524310938699,15.99,15,79,0.79,4.4034040643846,4.61033261354086,2.04900252175119,29.56,21,46,0.46
"Pliotrema_warreni","Pliotrema warreni",92.5401266121353,97.2848405160258,18.2176021546398,24.8,23,32,0.32,18.7070263987021,20.5355679826687,7.19703948984526,35.65,25,33,0.33,3.51384653485765,3.2107569969462,1.80488674203865,49.15,44,18,0.18
"Hemipristis_elongata","Hemipristis elongata",91.6550978372017,95.1657169689904,16.1222615103009,25.07,25,12,0.12,12.1208874028998,14.134004033539,6.90168128833972,221.59,61,0,0,0.341143766142165,0.336633764263937,0.130557795105778,648.41,617,0,0
"Brachaelurus_waddi","Brachaelurus waddi",91.9660232958534,97.3689277192497,16.9502424577073,25.38,24,22,0.22,22.1434033774595,24.209912915861,5.54380567408068,15.96,15,80,0.8,4.39871388672517,4.62016222775389,2.05064570787126,29.59,22,43,0.43
"Trigonognathus_kabeyai","Trigonognathus kabeyai",91.1287915284328,94.9785521144084,18.8298191415231,26.81,28,24,0.24,13.7335585708183,16.098040894516,7.88102540266094,158.84,52,6,0.06,1.04779801497507,0.951645325179095,0.698754108888325,276.55,279.5,0,0
